ds,Country,share,yhat_lstm_country
2011-12-16 12:50:00,United Kingdom,0.8090799543645291,218951.06813150007
2011-12-16 12:50:00,Netherlands,0.034172658723892094,9247.714132734944
2011-12-16 12:50:00,EIRE,0.03126784984927592,8461.622470984888
2011-12-16 12:50:00,Germany,0.02872491335326734,7773.459751110113
2011-12-16 12:50:00,France,0.024937866372742673,6748.61915658407
2011-12-23 12:50:00,United Kingdom,0.8090799543645291,219997.73947121346
2011-12-23 12:50:00,Netherlands,0.034172658723892094,9291.921806272223
2011-12-23 12:50:00,EIRE,0.03126784984927592,8502.072320366466
2011-12-23 12:50:00,Germany,0.02872491335326734,7810.619914800276
2011-12-23 12:50:00,France,0.024937866372742673,6780.880183278833
2011-12-30 12:50:00,United Kingdom,0.8090799543645291,222922.46237124695
2011-12-30 12:50:00,Netherlands,0.034172658723892094,9415.451695976753
2011-12-30 12:50:00,EIRE,0.03126784984927592,8615.101689090367
2011-12-30 12:50:00,Germany,0.02872491335326734,7914.456885958168
2011-12-30 12:50:00,France,0.024937866372742673,6871.027452983001
2012-01-06 12:50:00,United Kingdom,0.8090799543645291,224366.2149823133
2012-01-06 12:50:00,Netherlands,0.034172658723892094,9476.430669678368
2012-01-06 12:50:00,EIRE,0.03126784984927592,8670.897212905784
2012-01-06 12:50:00,Germany,0.02872491335326734,7965.714698529989
2012-01-06 12:50:00,France,0.024937866372742673,6915.527516908513
