Customer ID,Recency,Frequency,Monetary,Cluster,Score,Segment,Offer
12347.0,1,7,4310.0,4,9.755219535867026,Loyal Customers,Offer 10% loyalty discount + referral bonus.
12348.0,74,4,1797.24,1,4.786513486667747,Potential Loyalists,Send personalized recommendations + 5–10% coupon.
12349.0,18,1,1757.55,0,5.220953086227179,At Risk,Re-engagement campaign with 10–12% win-back offer.
12350.0,309,1,334.4,3,0.7718987324698618,Lost Customers,Strong limited-time reactivation coupon.
12352.0,35,8,2506.04,4,6.440563692236207,Loyal Customers,Offer 10% loyalty discount + referral bonus.
12353.0,203,1,89.0,3,-0.12516314295400566,Lost Customers,Strong limited-time reactivation coupon.
12354.0,231,1,1079.4,1,2.231496430812096,Potential Loyalists,Send personalized recommendations + 5–10% coupon.
12355.0,213,1,459.4,3,1.459266842385822,Lost Customers,Strong limited-time reactivation coupon.
12356.0,22,3,2811.43,4,6.192604302504794,Loyal Customers,Offer 10% loyalty discount + referral bonus.
12357.0,32,1,6207.67,1,5.93034160039074,Potential Loyalists,Send personalized recommendations + 5–10% coupon.
12358.0,1,2,1168.06,4,7.469420394182692,Loyal Customers,Offer 10% loyalty discount + referral bonus.
12359.0,57,4,6372.58,4,6.308911502004895,Loyal Customers,Offer 10% loyalty discount + referral bonus.
12360.0,51,3,2662.06,1,5.322281759078674,Potential Loyalists,Send personalized recommendations + 5–10% coupon.
12361.0,286,1,189.9,3,0.28541469553202603,Lost Customers,Strong limited-time reactivation coupon.
12362.0,2,10,5226.23,2,9.860919764170882,Champions,Offer 15–20% VIP discount and early access.
12363.0,109,2,552.0,1,2.7134899243980284,Potential Loyalists,Send personalized recommendations + 5–10% coupon.
12364.0,7,4,1313.1,4,6.710903670403857,Loyal Customers,Offer 10% loyalty discount + referral bonus.
12365.0,290,2,641.38,3,1.8904690503942083,Lost Customers,Strong limited-time reactivation coupon.
12367.0,3,1,168.9,0,4.442062848117941,At Risk,Re-engagement campaign with 10–12% win-back offer.
12370.0,50,4,3545.69,1,5.851382332863028,Potential Loyalists,Send personalized recommendations + 5–10% coupon.
12371.0,44,2,1887.96,1,4.835731490950115,Potential Loyalists,Send personalized recommendations + 5–10% coupon.
12372.0,71,3,1298.04,1,4.2790090512179715,Potential Loyalists,Send personalized recommendations + 5–10% coupon.
12373.0,310,1,364.6,3,0.8548941079607069,Lost Customers,Strong limited-time reactivation coupon.
12374.0,24,1,742.9300000000001,0,4.086218300076965,At Risk,Re-engagement campaign with 10–12% win-back offer.
12375.0,10,2,457.5,0,4.828677307566259,At Risk,Re-engagement campaign with 10–12% win-back offer.
12377.0,314,2,1628.12,1,2.741834920556448,Potential Loyalists,Send personalized recommendations + 5–10% coupon.
12378.0,129,1,4008.62,1,4.122064482822403,Potential Loyalists,Send personalized recommendations + 5–10% coupon.
12379.0,81,2,852.24,1,3.440933909227474,Potential Loyalists,Send personalized recommendations + 5–10% coupon.
12380.0,21,4,2724.81,4,6.428916369710204,Loyal Customers,Offer 10% loyalty discount + referral bonus.
12381.0,4,5,1845.31,4,7.703265888418866,Loyal Customers,Offer 10% loyalty discount + referral bonus.
12383.0,184,5,1850.56,1,4.0951874501355,Potential Loyalists,Send personalized recommendations + 5–10% coupon.
12384.0,28,2,585.27,0,4.105096892998809,At Risk,Re-engagement campaign with 10–12% win-back offer.
